,0,1,2,3,4,5,6,7,8,9,10
0,-0.18480515,-0.18678176,-0.18875778,-0.19467995,-0.19665414,-0.19863032,-0.20060365,-0.20257851,-0.20850332,-0.2104774,-0.2124542
1,-0.16981913,-0.17179258,-0.17376778,-0.17969024,-0.18166718,-0.18364108,-0.18561363,-0.18759044,-0.19351567,-0.195489,-0.19746353
2,-0.15484619,-0.15682016,-0.15879458,-0.16471757,-0.166695,-0.16866787,-0.17064182,-0.17261933,-0.17854331,-0.18051663,-0.18249395
3,-0.13989328,-0.14186749,-0.14384475,-0.1497684,-0.15173985,-0.15371741,-0.1556941,-0.15766785,-0.16359176,-0.16556612,-0.16753988
4,-0.12496259,-0.12693845,-0.1289141,-0.13483821,-0.13681157,-0.13879037,-0.14076419,-0.14273585,-0.14865969,-0.15063499,-0.1526093
5,-0.11005394,-0.112032294,-0.11400397,-0.11992914,-0.121900305,-0.12388121,-0.12585357,-0.12782829,-0.13375023,-0.13572782,-0.13770343
6,-0.09516298,-0.097137295,-0.099111915,-0.10503642,-0.10701069,-0.10898524,-0.11096122,-0.112934716,-0.11885897,-0.120833285,-0.122809894
7,-0.08029103,-0.08226802,-0.08424228,-0.09016481,-0.09214021,-0.09411378,-0.09609045,-0.098065645,-0.1039888,-0.10596731,-0.107939966
8,-0.06543698,-0.067413755,-0.06938633,-0.07531355,-0.077285916,-0.07926361,-0.08123468,-0.0832096,-0.0891345,-0.09111036,-0.09308374
9,-0.050605863,-0.05258065,-0.054553382,-0.060477875,-0.062453296,-0.064429246,-0.06640266,-0.068377346,-0.07430271,-0.07627667,-0.078250155
10,-0.03579289,-0.03776765,-0.03974079,-0.04566492,-0.047640674,-0.049615543,-0.051589713,-0.05356544,-0.05948845,-0.06146572,-0.063439906
11,-0.020997042,-0.022971814,-0.024947727,-0.030870762,-0.032847468,-0.034819912,-0.036795095,-0.038769796,-0.044694263,-0.0466667,-0.048643406
12,-0.006223887,-0.008197258,-0.010170694,-0.016096301,-0.018072814,-0.020046944,-0.022021389,-0.023996903,-0.029921224,-0.031894714,-0.033868406
13,0.008532057,0.006554979,0.0045779184,-0.0013432564,-0.0033186434,-0.005294044,-0.0072676647,-0.009242994,-0.015166595,-0.017141193,-0.019116107
14,0.023267265,0.021291887,0.019316783,0.013393415,0.011416495,0.009444298,0.00746781,0.0054922877,-0.00043098564,-0.002406534,-0.004380965
15,0.037981942,0.036008075,0.03403309,0.028107096,0.026132762,0.024158994,0.022183029,0.020209203,0.014282922,0.012311384,0.010334215
16,0.052674,0.050702505,0.048726514,0.04280341,0.04082606,0.038852148,0.036879364,0.034900874,0.028977653,0.027004488,0.025028937
17,0.06735251,0.06538125,0.063404,0.057478275,0.05550443,0.053532343,0.051555354,0.04958006,0.043656837,0.04168232,0.039705854
18,0.082013786,0.08004237,0.0780679,0.07214067,0.07016691,0.06819055,0.06621747,0.06424133,0.058317974,0.05634324,0.054369364
19,0.096657,0.094678484,0.09270735,0.086780034,0.084806666,0.08283249,0.080857284,0.0788851,0.0729575,0.07098457,0.06901137
