,0,1,2,3,4,5,6,7,8,9,10
0,-0.3602151,-0.5467439,-0.7125638,-1.0371051,-1.1145349,-1.1921386,-1.2695204,-1.3508828,-1.5907229,-1.6634536,-1.734355
1,-0.35812655,-0.5443682,-0.7101883,-1.0360818,-1.113511,-1.1911104,-1.2685049,-1.3497967,-1.5897112,-1.6625425,-1.7334437
2,-0.35603994,-0.54199606,-0.70781624,-1.0350598,-1.1124891,-1.1900837,-1.2674903,-1.3487116,-1.5887004,-1.6616325,-1.7325336
3,-0.35395676,-0.5396273,-0.7054467,-1.034039,-1.1114687,-1.1890581,-1.2664773,-1.3476281,-1.5876914,-1.6607233,-1.7316248
4,-0.35187677,-0.53726095,-0.70308125,-1.0330195,-1.1104492,-1.1880339,-1.265466,-1.346546,-1.5866829,-1.6598161,-1.7307183
5,-0.34979886,-0.534899,-0.70071906,-1.0320019,-1.1094317,-1.1870115,-1.2644564,-1.3454654,-1.5856766,-1.65891,-1.7298119
6,-0.34772426,-0.532539,-0.6983593,-1.0309852,-1.108415,-1.1859899,-1.2634473,-1.3443868,-1.5846715,-1.6580049,-1.7289058
7,-0.3456519,-0.5301825,-0.69600254,-1.0299697,-1.1073995,-1.1849704,-1.2624401,-1.3433095,-1.5836672,-1.6571013,-1.7280023
8,-0.34358191,-0.52782834,-0.69364935,-1.028956,-1.1063851,-1.1839508,-1.2614335,-1.342233,-1.5826645,-1.6561984,-1.7270992
9,-0.34151524,-0.5254786,-0.6912977,-1.0279431,-1.1053725,-1.1829337,-1.2604287,-1.3411576,-1.581663,-1.6552967,-1.7261982
10,-0.33945107,-0.5231314,-0.6889516,-1.0269321,-1.1043615,-1.1819179,-1.2594258,-1.3400843,-1.5806625,-1.6543967,-1.7252978
11,-0.3373896,-0.52078646,-0.6866071,-1.025922,-1.1033512,-1.180903,-1.2584227,-1.3390126,-1.579664,-1.653497,-1.7243985
12,-0.3353301,-0.518445,-0.6842656,-1.0249133,-1.1023425,-1.17989,-1.2574223,-1.3379419,-1.5786664,-1.652599,-1.7235007
13,-0.33327517,-0.51610744,-0.6819287,-1.0239059,-1.1013358,-1.1788807,-1.2564229,-1.3368723,-1.5776707,-1.6517026,-1.7226037
14,-0.33122116,-0.5137726,-0.67959344,-1.0228993,-1.1003295,-1.1778723,-1.2554244,-1.3358047,-1.5766755,-1.6508067,-1.7217078
15,-0.32917067,-0.511441,-0.677262,-1.021895,-1.0993245,-1.1768653,-1.2544278,-1.3347384,-1.5756824,-1.6499125,-1.7208135
16,-0.32712355,-0.5091128,-0.67493254,-1.0208924,-1.0983213,-1.1758603,-1.2534325,-1.3336738,-1.5746901,-1.649019,-1.7199204
17,-0.32507825,-0.50678676,-0.67260695,-1.0198901,-1.0973196,-1.174856,-1.252438,-1.3326102,-1.573699,-1.6481278,-1.719028
18,-0.3230354,-0.50446373,-0.670284,-1.018889,-1.0963184,-1.1738527,-1.2514447,-1.3315475,-1.5727097,-1.6472359,-1.7181374
19,-0.3209952,-0.50214344,-0.6679639,-1.0178895,-1.0953189,-1.1728512,-1.250453,-1.3304868,-1.5717021,-1.6463464,-1.717248
20,-0.31895822,-0.4998272,-0.6656478,-1.0168917,-1.0943209,-1.1718508,-1.249463,-1.3294276,-1.5706863,-1.645458,-1.7163591
