,0,1,2,3,4,5,6,7
0,-0.15002221,-0.14986373,-0.1497049,-0.14954603,-0.14938709,-0.14891057,-0.13254222,-0.108505346
1,-0.14104287,-0.14088568,-0.14072673,-0.1405671,-0.14040747,-0.13993078,-0.11778439,-0.09314396
2,-0.13207318,-0.13191658,-0.13175714,-0.13159704,-0.1314385,-0.12707834,-0.10304152,-0.077118516
3,-0.12311744,-0.122958176,-0.122798614,-0.1226392,-0.12248242,-0.11235634,-0.08739834,-0.06111786
4,-0.114173315,-0.11401521,-0.11385573,-0.11369748,-0.11353826,-0.09765686,-0.07142,-0.045139544
5,-0.105126515,-0.105084755,-0.104925185,-0.104764506,-0.10460551,-0.08174603,-0.055463407,-0.02918354
6,-0.09550337,-0.09548726,-0.09547182,-0.09545551,-0.09544007,-0.065804854,-0.039526455,-0.013242624
7,-0.08589413,-0.08587832,-0.08586136,-0.085845485,-0.08582918,-0.04988897,-0.023608983,0.00267293
8,-0.07629657,-0.07627936,-0.07626427,-0.076246776,-0.07623211,-0.033992797,-0.007707401,0.018575339
9,-0.06671229,-0.06669556,-0.06667797,-0.06666381,-0.06664556,-0.018113403,0.008166116,0.03445014
10,-0.05714007,-0.057123035,-0.057107247,-0.057090346,-0.057075854,-0.0022620254,0.02402051,0.05029938
11,-0.04757935,-0.047563944,-0.047548503,-0.047530174,-0.047513776,0.013571153,0.039854847,0.07045075
12,-0.038032062,-0.038015857,-0.038000725,-0.03798449,-0.037967417,0.029386802,0.05566887,0.09148645
13,-0.028499085,-0.028484765,-0.028467465,-0.028450033,-0.028434297,0.04517708,0.07248169,0.112500675
14,-0.018977355,-0.018960042,-0.018946167,-0.018927764,-0.017895717,0.06094701,0.093468904,0.13348795
15,-0.009424143,-0.009453915,-0.009436119,-0.009419681,-0.0021476282,0.07669815,0.11442484,0.1544424
16,0.00030688147,4.3323023e-05,5.969518e-05,7.470691e-05,0.013577225,0.09533502,0.13535315,0.17542337
17,0.010027525,0.009618041,0.009541709,0.009559309,0.029290237,0.11623456,0.15647273,0.1967229
18,0.01973887,0.019331371,0.019016402,0.019032985,0.044979516,0.13749911,0.17774855,0.21799369
19,0.029435787,0.029025989,0.028616825,0.034369834,0.06073686,0.15873758,0.19899109,0.23923615
20,0.039119396,0.03870911,0.03829873,0.05026437,0.076774776,0.1799502,0.22019713,0.26044014
21,0.04879099,0.048380163,0.04797142,0.066283464,0.09279441,0.20113517,0.24138214,0.28163078
22,0.058447804,0.058037147,0.057628505,0.082279734,0.10878934,0.22229043,0.26254013,0.3027856
23,0.068094365,0.067684576,0.07174662,0.09825678,0.12476717,0.24342489,0.2836706,0.32391718
24,0.07772671,0.07731774,0.08770149,0.1142137,0.14378373,0.26452518,0.30477226,0.34502602
25,0.0873495,0.08694009,0.103638895,0.1301475,0.16486038,0.2856022,0.3258472,0.36611718
26,0.09695893,0.09654773,0.11954972,0.14606261,0.18590635,0.3066468,0.34690216,0.38717315
27,0.10655416,0.10893688,0.13544852,0.16668315,0.20692952,0.32767263,0.36793396,0.40820944
28,0.11613715,0.1248106,0.15131892,0.1876755,0.22792374,0.34866384,0.3889381,0.42920902
29,0.1257088,0.14066432,0.16839825,0.20864692,0.24888995,0.36964792,0.40992013,0.45019105
30,0.13527088,0.15650098,0.18934406,0.22959046,0.26983944,0.39059758,0.43087584,0.47115085
31,0.14579761,0.17230648,0.2102492,0.25049517,0.29074427,0.4115208,0.451793,0.4920666
32,0.1615938,0.19089013,0.23113802,0.2713882,0.3116318,0.43242124,0.47269216,0.5129687
33,0.1773656,0.21175076,0.2519984,0.29224822,0.33249217,0.45329347,0.4935625,0.5338407
34,0.19311732,0.2325881,0.27283412,0.31308192,0.3533307,0.4741382,0.51441383,0.55468625
35,0.2131439,0.25339276,0.2936395,0.33388567,0.3741395,0.49495515,0.53523093,0.57550174
36,0.2339305,0.27417403,0.3144221,0.35466683,0.39493224,0.5157509,0.55602247,0.59629625
37,0.25467807,0.29492497,0.33517322,0.3754226,0.41569096,0.5365115,0.57678366,0.61705464
38,0.27540454,0.3156511,0.3559026,0.39615777,0.4364305,0.5572484,0.59752285,0.6377964
39,0.29610893,0.3363569,0.37660486,0.4168725,0.45714313,0.5779637,0.6182373,0.65851325
40,0.31678194,0.35703024,0.3972847,0.4375588,0.477829,0.5986487,0.6389233,0.67919254
41,0.33743244,0.37767926,0.417942,0.4582196,0.49848855,0.61930764,0.6595856,0.69871396
42,0.35805762,0.39830774,0.43858173,0.4788539,0.51912946,0.6399493,0.6802204,0.71774775
43,0.37865344,0.4189132,0.45918694,0.4994604,0.5397364,0.66055375,0.7004124,0.7367512
44,0.3992253,0.4394988,0.47976822,0.5200438,0.5603183,0.6811348,0.71955895,0.7557285
45,0.41978317,0.46005824,0.5003296,0.5406018,0.5808777,0.70158076,0.73851806,0.7745206
46,0.44031253,0.48058507,0.5208579,0.5611334,0.6014045,0.721219,0.7574479,0.7919132
47,0.46081656,0.5010914,0.5413638,0.58163846,0.62190974,0.7401877,0.7762288,0.80500084
48,0.4812928,0.52156335,0.56183887,0.6021094,0.6423818,0.7590682,0.7934955,0.81451035
49,0.50174963,0.5420204,0.582296,0.6225682,0.66283965,0.7778424,0.80629194,0.8233016
50,0.5221743,0.5624494,0.6027204,0.64299756,0.6832664,0.7950068,0.8156281,0.83124036
51,0.5425776,0.58285415,0.62312365,0.66339844,0.70367444,0.8075286,0.82363623,0.8386297
52,0.5629521,0.603223,0.6435,0.6837754,0.723955,0.8160209,0.8308357,0.8450704
53,0.5833009,0.62357366,0.66384614,0.70411986,0.74342847,0.82292104,0.83716536,0.8513784
54,0.6036332,0.64390886,0.68418264,0.7244526,0.7628849,0.8292456,0.84348994,0.8576813
55,0.6239311,0.6642007,0.7044769,0.74409837,0.7806769,0.8355597,0.8497796,0.8639725
56,0.6442088,0.6844825,0.7247543,0.761716,0.7938157,0.84186774,0.8560665,0.87025774
57,0.664456,0.70450884,0.7425119,0.7763903,0.8043535,0.84815043,0.8623419,0.8765331
58,0.68391263,0.72242635,0.757173,0.79033214,0.81165576,0.85441995,0.8686116,0.8828024
59,0.701996,0.7379395,0.7718116,0.80192894,0.8180095,0.86068124,0.87487227,0.88906354
60,0.71748894,0.75256455,0.7863454,0.80983937,0.824286,0.8669358,0.8811275,0.89531845
61,0.7329626,0.7671662,0.7989979,0.81630975,0.83055294,0.8731803,0.88737166,0.9015633
62,0.74788046,0.7817566,0.80788636,0.8225719,0.83681667,0.8794201,0.89361197,0.9078036
63,0.7624487,0.79534817,0.8145793,0.82882446,0.8430681,0.8856499,0.89984155,0.91403294
64,0.77700275,0.8058607,0.82082623,0.83506966,0.84929925,0.8918737,0.90606445,0.9202558
65,0.79107773,0.81276673,0.82706046,0.84130514,0.8555126,0.8980875,0.91227823,0.9264696
66,0.8032982,0.81904817,0.8332924,0.84752995,0.861722,0.9042957,0.91848654,0.93267834
67,0.81079465,0.82526773,0.8395129,0.85372984,0.8679194,0.91049457,0.9246853,0.93887657
68,0.8172412,0.8314861,0.8457292,0.8599239,0.87411386,0.9166888,0.9308794,0.94506997
69,0.82344776,0.83769137,0.8519163,0.8661081,0.8802989,0.9228731,0.9370635,0.9512548
70,0.8296468,0.84389126,0.8580932,0.8722856,0.88647485,0.9290501,0.9432411,0.9574319
71,0.83583957,0.85007185,0.86426324,0.87845504,0.89264536,0.93521905,0.9494096,0.9636019
72,0.84202397,0.8562351,0.8704257,0.8846182,0.89880794,0.94138205,0.9555743,0.9697653
73,0.84819925,0.86239,0.8765821,0.89077175,0.904964,0.9475386,0.9617291,0.9759202
74,0.854345,0.86853546,0.88272715,0.89691865,0.9111092,0.9536838,0.9678742,0.98206615
75,0.8604848,0.87467724,0.8888677,0.90305924,0.9172502,0.9598238,0.97401625,0.9882076
76,0.86661625,0.880808,0.89500064,0.9091899,0.92338157,0.9659563,0.9801465,0.9943388
77,0.8727435,0.88693416,0.9011267,0.9153172,0.92950886,0.9720821,0.98627406,1.0004649
78,0.87885946,0.8930513,0.90724236,0.92143387,0.9356247,0.97819895,0.9923907,1.0065817
79,0.88496923,0.89916104,0.9133524,0.9275428,0.9417352,0.9843086,0.99849904,1.0126921
80,0.8910719,0.9052625,0.9194549,0.93364584,0.9478379,0.9904107,1.0046027,1.0187943
81,0.89716905,0.91135997,0.9255523,0.93974334,0.9539349,0.99650866,1.0106994,1.024891
82,0.90325755,0.9174493,0.9316396,0.94583076,0.9600224,1.0025955,1.0167878,1.0309795
83,0.9093381,0.92352927,0.93772006,0.9519119,0.96610284,1.0086775,1.0228678,1.037058
84,0.91541207,0.92960256,0.94379395,0.9579839,0.9721761,1.0147502,1.0289403,1.0431323
85,0.92147756,0.93566835,0.94986016,0.9640514,0.978243,1.020816,1.0350071,1.0491992
86,0.92753494,0.9417275,0.9559191,0.97011006,0.9843024,1.0268749,1.0410662,1.0552577
87,0.9335873,0.9477788,0.9619703,0.976161,0.99035287,1.0329272,1.0471188,1.061309
88,0.93963176,0.9538235,0.9680147,0.98220575,0.996397,1.0389708,1.0531632,1.0673529
89,0.9456691,0.95986134,0.9740513,0.9882437,1.0024338,1.045008,1.0591989,1.0733905
90,0.95169944,0.96589047,0.9800819,0.9942727,1.0084642,1.0510389,1.065229,1.079421
91,0.957723,0.9719129,0.98610455,1.0002953,1.0144869,1.0570614,1.0712512,1.0854435
92,0.9637398,0.97793067,0.9921218,1.0063143,1.0205047,1.0630794,1.0772687,1.0914614
93,0.9697485,0.983939,0.9981299,1.0123208,1.0265136,1.0690868,1.0832784,1.0974685
94,0.9757483,0.98993903,1.0041314,1.0183228,1.0325142,1.0750874,1.0892802,1.1034703
95,0.9817428,0.9959332,1.010125,1.0243162,1.0385073,1.0810816,1.0952718,1.1094639
96,0.98773235,1.0019222,1.0161145,1.0303047,1.0444952,1.0870712,1.1012615,1.1154529
97,0.99371016,1.007902,1.0220926,1.0362841,1.0504761,1.0930487,1.1072415,1.1214328
98,0.99968404,1.0138764,1.0280671,1.0422592,1.0564505,1.0990232,1.1132147,1.1274066
99,1.0056493,1.01984,1.0340315,1.0482237,1.0624144,1.1049888,1.1191807,1.1333711
100,1.0116098,1.0258008,1.0399926,1.0541822,1.0683746,1.1109487,1.1251388,1.139331
