,0
0,-0.87065554
1,-0.8656331
2,-0.86061716
3,-0.8556082
4,-0.8506061
5,-0.8456119
6,-0.8406212
7,-0.8356407
8,-0.83066356
9,-0.82569295
10,-0.8207326
11,-0.8157748
12,-0.81082577
13,-0.8058848
14,-0.80094576
15,-0.7960162
16,-0.7910943
17,-0.78617585
18,-0.7812652
19,-0.776359
20,-0.771461
21,-0.76657
22,-0.7616829
23,-0.7568044
24,-0.75193155
25,-0.7470643
26,-0.74220556
27,-0.7373501
28,-0.73250276
29,-0.72766143
30,-0.72282547
31,-0.71799845
32,-0.7131735
33,-0.7083572
34,-0.7035459
35,-0.69874114
36,-0.69394386
37,-0.68915206
38,-0.6843661
39,-0.67958397
40,-0.67481124
41,-0.670043
42,-0.6652805
43,-0.6605234
44,-0.65577394
45,-0.6510284
46,-0.64629364
47,-0.64155906
48,-0.63683575
49,-0.63211405
50,-0.62739915
51,-0.6226893
52,-0.6179879
53,-0.6132918
54,-0.6085977
55,-0.6039149
56,-0.5992346
57,-0.59456295
58,-0.58989435
59,-0.58523387
60,-0.58057654
61,-0.5759268
62,-0.57127935
63,-0.5666405
64,-0.56200767
65,-0.5573822
66,-0.5527588
67,-0.5481437
68,-0.5435315
69,-0.5389273
70,-0.534328
71,-0.52973276
72,-0.5251467
73,-0.52056265
74,-0.51598674
75,-0.511415
76,-0.5068496
77,-0.5022884
78,-0.49773437
79,-0.4931854
80,-0.48864096
81,-0.4841017
82,-0.4795679
83,-0.4750417
84,-0.4705192
85,-0.46600255
86,-0.4614904
87,-0.45698562
88,-0.45248476
89,-0.44799036
90,-0.4435017
91,-0.439016
92,-0.43453732
93,-0.43006256
94,-0.42559427
95,-0.42113116
96,-0.41667303
97,-0.41222107
98,-0.4077736
99,-0.4033326
100,-0.39889434
