,0
0,0.114122376
1,0.12970802
2,0.14527664
3,0.16082524
4,0.17635109
5,0.19185632
6,0.20734599
7,0.22280858
8,0.23825519
9,0.25368235
10,0.269088
11,0.28447148
12,0.2998336
13,0.3151766
14,0.33048943
15,0.3457577
16,0.3609995
17,0.37622938
18,0.39143863
19,0.406631
20,0.42179722
21,0.43694574
22,0.4520757
23,0.46718445
24,0.48227197
25,0.4973453
26,0.5123968
27,0.5274279
28,0.5424386
29,0.5574332
30,0.57241
31,0.5870467
32,0.60160685
33,0.6161461
34,0.63066334
35,0.6451635
36,0.6596472
37,0.67410964
38,0.6885497
39,0.7028388
40,0.71590203
41,0.72807556
42,0.74011815
43,0.751359
44,0.7620209
45,0.77266794
46,0.7826245
47,0.79219437
48,0.80174726
49,0.8112958
50,0.82055205
51,0.82930917
52,0.8361545
53,0.8423889
54,0.84840775
55,0.85441643
56,0.8604184
57,0.8664122
58,0.87239873
59,0.878379
60,0.8843522
61,0.890316
62,0.896275
63,0.9022245
64,0.9081678
65,0.91410184
66,0.9200296
67,0.92595154
68,0.93186605
69,0.9377726
70,0.9436715
71,0.9495635
72,0.95544815
73,0.96132666
74,0.9671961
75,0.9730602
76,0.97891754
77,0.98476684
78,0.9906087
79,0.99644446
80,1.0022708
81,1.0080948
82,1.0139087
83,1.0197144
84,1.0255146
85,1.031308
86,1.0370952
87,1.0428729
88,1.0486462
89,1.0544114
90,1.06017
91,1.0659211
92,1.0716686
93,1.0774056
94,1.0831376
95,1.0888616
96,1.0945805
97,1.1002916
98,1.105997
99,1.1116925
100,1.117385
