,0
0,-0.7482209
1,-0.74474007
2,-0.741263
3,-0.73779136
4,-0.73432493
5,-0.7308626
6,-0.727405
7,-0.7239512
8,-0.7205024
9,-0.7170565
10,-0.7136179
11,-0.71018213
12,-0.7067505
13,-0.7033248
14,-0.69990337
15,-0.69648516
16,-0.6930742
17,-0.6896649
18,-0.6862603
19,-0.6828608
20,-0.67946655
21,-0.6761269
22,-0.6728779
23,-0.66963327
24,-0.6663937
25,-0.6631571
26,-0.6599259
27,-0.6566972
28,-0.6534744
29,-0.65025395
30,-0.6470389
31,-0.6438292
32,-0.640621
33,-0.63741845
34,-0.63421863
35,-0.6310245
36,-0.6278331
37,-0.62464774
38,-0.6214657
39,-0.6182857
40,-0.6151113
41,-0.61194074
42,-0.608774
43,-0.6056114
44,-0.6024532
45,-0.59929764
46,-0.596148
47,-0.59300154
48,-0.5898593
49,-0.58672017
50,-0.5835849
51,-0.58045435
52,-0.5773285
53,-0.5742047
54,-0.57108426
55,-0.56797016
56,-0.56485796
57,-0.56175065
58,-0.5586465
59,-0.55554646
60,-0.5524509
61,-0.54935795
62,-0.5462701
63,-0.5431842
64,-0.54010385
65,-0.5370276
66,-0.5339537
67,-0.53088444
68,-0.5278185
69,-0.52475613
70,-0.5216982
71,-0.518644
72,-0.5155929
73,-0.51254493
74,-0.5095026
75,-0.5064621
76,-0.5034268
77,-0.5003935
78,-0.49736494
79,-0.4943402
80,-0.49131843
81,-0.48830086
82,-0.48528573
83,-0.4822756
84,-0.47926977
85,-0.47626555
86,-0.47326508
87,-0.47026923
88,-0.4672776
89,-0.46428838
90,-0.46130314
91,-0.45832133
92,-0.45534188
93,-0.45236725
94,-0.449396
95,-0.4464283
96,-0.44346318
97,-0.4405034
98,-0.43754497
99,-0.43459216
100,-0.43164197
