,0
0,0.8329417
1,0.83514774
2,0.83735174
3,0.83955264
4,0.8417498
5,0.8439441
6,0.846136
7,0.84832513
8,0.8505115
9,0.8526949
10,0.8548752
11,0.857053
12,0.859227
13,0.86139935
14,0.8635682
15,0.8657341
16,0.8678961
17,0.8700568
18,0.872215
19,0.87436974
20,0.8765221
21,0.87867147
22,0.8808178
23,0.8829615
24,0.8851017
25,0.8872402
26,0.8893754
27,0.891508
28,0.89363796
29,0.8957651
30,0.89789045
31,0.9000107
32,0.9021303
33,0.9042467
34,0.90636027
35,0.9084707
36,0.91057885
37,0.9126847
38,0.9147876
39,0.9168876
40,0.91898495
41,0.9210797
42,0.92317206
43,0.9252613
44,0.9273484
45,0.92943275
46,0.93151444
47,0.9335935
48,0.93566996
49,0.9377439
50,0.939815
51,0.9418841
52,0.9439496
53,0.94601303
54,0.9480748
55,0.95013225
56,0.95218873
57,0.95424104
58,0.95629156
59,0.9583407
60,0.96038586
61,0.96242905
62,0.9644707
63,0.9665084
64,0.9685437
65,0.9705768
66,0.97260743
67,0.97463495
68,0.97666186
69,0.97868466
70,0.9807046
71,0.98272336
72,0.9847398
73,0.9867532
74,0.9887636
75,0.99077237
76,0.9927777
77,0.994782
78,0.9967827
79,0.9987806
80,1.0007772
81,1.0027716
82,1.0047631
83,1.0067525
84,1.0087394
85,1.0107229
86,1.0127053
87,1.0146846
88,1.0166622
89,1.0186373
90,1.0206099
91,1.02258
92,1.024548
93,1.0265138
94,1.0284767
95,1.0304374
96,1.0323963
97,1.0343524
98,1.0363066
99,1.0382575
100,1.0402069
